E0=3.228912	epsilon=0.030000
4.260000	0.007902
4.272000	0.007569
4.284000	0.007248
4.296000	0.006939
4.308000	0.006642
4.320000	0.006356
4.332000	0.006081
4.344000	0.005817
4.356000	0.005562
4.368000	0.005318
4.380000	0.005083
4.392000	0.004857
4.404000	0.004640
4.416000	0.004432
4.428000	0.004232
4.440000	0.004040
4.452000	0.003856
4.464000	0.003680
4.476000	0.003510
4.488000	0.003348
4.500000	0.003192
4.512000	0.003043
4.524000	0.002900
4.536000	0.002764
4.548000	0.002632
4.560000	0.002507
4.572000	0.002387
4.584000	0.002272
4.596000	0.002162
4.608000	0.002057
4.620000	0.001957
4.632000	0.001861
4.644000	0.001769
4.656000	0.001681
4.668000	0.001598
4.680000	0.001518
4.692000	0.001442
4.704000	0.001369
4.716000	0.001299
4.728000	0.001233
4.740000	0.001170
4.752000	0.001110
4.764000	0.001053
4.776000	0.000998
4.788000	0.000946
4.800000	0.000896
4.812000	0.000849
4.824000	0.000804
4.836000	0.000761
4.848000	0.000721
4.860000	0.000682
4.872000	0.000645
4.884000	0.000610
4.896000	0.000577
4.908000	0.000546
4.920000	0.000516
4.932000	0.000487
4.944000	0.000460
4.956000	0.000435
4.968000	0.000411
4.980000	0.000388
4.992000	0.000366
5.004000	0.000345
5.016000	0.000325
5.028000	0.000307
5.040000	0.000289
5.052000	0.000273
5.064000	0.000257
5.076000	0.000242
5.088000	0.000228
5.100000	0.000214
5.112000	0.000202
5.124000	0.000190
5.136000	0.000179
5.148000	0.000168
5.160000	0.000158
5.172000	0.000148
5.184000	0.000140
5.196000	0.000131
5.208000	0.000123
5.220000	0.000116
5.232000	0.000108
5.244000	0.000102
5.256000	0.000095
5.268000	0.000090
5.280000	0.000084
5.292000	0.000079
5.304000	0.000074
5.316000	0.000069
5.328000	0.000065
5.340000	0.000061
5.352000	0.000057
5.364000	0.000053
5.376000	0.000050
5.388000	0.000046
5.400000	0.000043
5.412000	0.000041
5.424000	0.000038
5.436000	0.000035
5.448000	0.000033
5.460000	0.000031
5.472000	0.000029
5.484000	0.000027
5.496000	0.000025
5.508000	0.000023
5.520000	0.000022
5.532000	0.000020
5.544000	0.000019
5.556000	0.000018
5.568000	0.000016
5.580000	0.000015
5.592000	0.000014
5.604000	0.000013
5.616000	0.000012
5.628000	0.000011
5.640000	0.000011
5.652000	0.000010
5.664000	0.000009
5.676000	0.000009
5.688000	0.000008
5.700000	0.000007
5.712000	0.000007
5.724000	0.000006
5.736000	0.000006
5.748000	0.000005
5.760000	0.000005
5.772000	0.000005
5.784000	0.000004
5.796000	0.000004
5.808000	0.000004
5.820000	0.000003
5.832000	0.000003
5.844000	0.000003
5.856000	0.000003
5.868000	0.000002
5.880000	0.000002
5.892000	0.000002
5.904000	0.000002
5.916000	0.000002
5.928000	0.000001
5.940000	0.000001
5.952000	0.000001
5.964000	0.000001
5.976000	0.000001
5.988000	0.000001
