E0=1.626748	epsilon=0.010000
1.308000	-0.562628
1.320000	-0.562830
1.332000	-0.562938
1.344000	-0.562953
1.356000	-0.562875
1.368000	-0.562705
1.380000	-0.562444
1.392000	-0.562092
1.404000	-0.561652
1.416000	-0.561122
1.428000	-0.560505
1.440000	-0.559801
1.452000	-0.559011
1.464000	-0.558136
1.476000	-0.557177
1.488000	-0.556134
1.500000	-0.555010
1.512000	-0.553805
1.524000	-0.552519
1.536000	-0.551155
1.548000	-0.549713
1.560000	-0.548193
1.572000	-0.546598
1.584000	-0.544929
1.596000	-0.543185
1.608000	-0.541370
1.620000	-0.539483
1.632000	-0.537526
1.644000	-0.535500
1.656000	-0.533406
1.668000	-0.531245
1.680000	-0.529019
1.692000	-0.526729
1.704000	-0.524376
1.716000	-0.521962
1.728000	-0.519486
1.740000	-0.516952
1.752000	-0.514359
1.764000	-0.511710
1.776000	-0.509005
1.788000	-0.506247
1.800000	-0.503435
1.812000	-0.500571
1.824000	-0.497657
1.836000	-0.494694
1.848000	-0.491683
1.860000	-0.488625
1.872000	-0.485523
1.884000	-0.482376
1.896000	-0.479186
1.908000	-0.475956
1.920000	-0.472685
1.932000	-0.469375
1.944000	-0.466027
1.956000	-0.462644
1.968000	-0.459225
1.980000	-0.455773
1.992000	-0.452288
2.004000	-0.448772
2.016000	-0.445226
2.028000	-0.441652
2.040000	-0.438050
2.052000	-0.434422
2.064000	-0.430769
2.076000	-0.427092
2.088000	-0.423393
2.100000	-0.419673
2.112000	-0.415933
2.124000	-0.412174
2.136000	-0.408397
2.148000	-0.404604
2.160000	-0.400795
2.172000	-0.396973
2.184000	-0.393137
2.196000	-0.389290
2.208000	-0.385432
2.220000	-0.381565
2.232000	-0.377689
2.244000	-0.373806
2.256000	-0.369916
2.268000	-0.366022
2.280000	-0.362123
2.292000	-0.358221
2.304000	-0.354318
2.316000	-0.350413
2.328000	-0.346508
2.340000	-0.342605
2.352000	-0.338703
2.364000	-0.334804
2.376000	-0.330909
2.388000	-0.327019
2.400000	-0.323135
2.412000	-0.319257
2.424000	-0.315387
2.436000	-0.311526
2.448000	-0.307673
2.460000	-0.303831
2.472000	-0.300000
2.484000	-0.296180
2.496000	-0.292373
2.508000	-0.288580
2.520000	-0.284800
2.532000	-0.281036
2.544000	-0.277287
2.556000	-0.273554
2.568000	-0.269838
2.580000	-0.266140
2.592000	-0.262461
2.604000	-0.258800
2.616000	-0.255159
2.628000	-0.251538
2.640000	-0.247938
2.652000	-0.244359
2.664000	-0.240802
2.676000	-0.237268
2.688000	-0.233757
2.700000	-0.230269
2.712000	-0.226806
2.724000	-0.223367
2.736000	-0.219953
2.748000	-0.216564
2.760000	-0.213201
2.772000	-0.209865
2.784000	-0.206555
2.796000	-0.203272
2.808000	-0.200017
2.820000	-0.196789
2.832000	-0.193590
2.844000	-0.190418
2.856000	-0.187276
2.868000	-0.184163
2.880000	-0.181078
2.892000	-0.178024
2.904000	-0.174999
2.916000	-0.172004
2.928000	-0.169039
2.940000	-0.166105
2.952000	-0.163202
2.964000	-0.160329
2.976000	-0.157487
2.988000	-0.154676
3.000000	-0.151896
3.012000	-0.149148
3.024000	-0.146430
3.036000	-0.143745
3.048000	-0.141091
3.060000	-0.138468
3.072000	-0.135878
3.084000	-0.133319
3.096000	-0.130791
3.108000	-0.128296
3.120000	-0.125832
3.132000	-0.123400
3.144000	-0.121000
3.156000	-0.118631
3.168000	-0.116294
3.180000	-0.113989
3.192000	-0.111715
3.204000	-0.109472
3.216000	-0.107261
3.228000	-0.105081
3.240000	-0.102933
3.252000	-0.100815
3.264000	-0.098729
3.276000	-0.096673
3.288000	-0.094648
3.300000	-0.092654
3.312000	-0.090690
3.324000	-0.088756
3.336000	-0.086852
3.348000	-0.084978
3.360000	-0.083134
3.372000	-0.081320
3.384000	-0.079534
3.396000	-0.077778
3.408000	-0.076051
3.420000	-0.074353
